Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Office and administrative support occupations	Credit authorizer	pengiktirafan kredit	krediidiandja	luotonantaja	?	վարկի լիազորագիր	ক্রেডিট লেখক	क्रेडिट लेखक	クレジット認可者	신용 승인자	kredi yetkilendiricisi	ašẹ idaniloju	kreditu-baimena	mdhamini wa mikopo	信贷授权人	
Office and administrative support occupations	Credit checker	pemeriksa kredit	?	luottotarkastaja	hitel-ellenőrző	վարկային ստուգիչ	ক্রেডিট চেকার	क्रेडिट चेकर	クレジットチェッカー	신용 검사기	kredi denetleyicisi	?	kreditu-zuzentzailea	mchezaji wa mikopo	信用检查器	
Office and administrative support occupations	Credit clerk	kerani kredit	krediiditöötaja	luotonantaja	hitelügyintéző	վարկային գործակալություն	ক্রেডিট ক্লার্ক	क्रेडिट क्लर्क	信用調査員	신용 사무원	kredi memuru	akọwe gbese	kreditu-idazkaria	karani wa mikopo	信用文员	
Office and administrative support occupations	Customer service representative	wakil khidmat pelanggan	klienditeenindaja	asiakaspalvelun edustaja	ügyfélszolgálati képviselő	հաճախորդների սպասարկման ներկայացուցիչը	গ্রাহক পরিষেবা প্রতিনিধি	ग्राहक सेवा प्रतिनिधि	顧客サービス担当者	고객 서비스 담당자	?	aṣoju iṣẹ onibara	bezeroaren zerbitzuen ordezkaria	mwakilishi wa huduma ya wateja	客户服务代表	
Office and administrative support occupations	Data entry keyer	pemetik entri data	?	data entry keyer	adatbeviteli keyer	տվյալների մուտքագրման ստեղնաշար	ডাটা এন্ট্রি কীর	?	データ入力キーヤー	데이터 입력 키어	veri girişi	?	datuen sarrera tekla	keki ya kuingiza data	数据输入键	
Office and administrative support occupations	Desktop publisher	penerbit desktop	töölaua väljaandja	työpöydän kustantaja	asztali kiadó	?	ডেস্কটপ প্রকাশক	डेस्कटप प्रकाशक	デスクトップパブリッシャー	?	masaüstü yayıncısı	akọjade iboju	?	mchapishaji wa desktop	?	
Office and administrative support occupations	Dispatcher	pengirim	dispetšer	lähettäjä	diszpécser	?	ডেস্প্যাচার	प्रेषक	?	?	?	dispatcher	aztergailu	dispatcher	?	
Office and administrative support occupations	Eligibility interviewer	pensyarah kelayakan	abikõlblikkuse küsitleja	kelpoisuushaastattelija	jogosultsági kérdező	?	যোগ্যতা সাক্ষাত্কার	योग्यता साक्षात्कारकर्ता	資格審査員	자격 면접관	uygunluk görüşmeci	olutọju oluyẹwo	?	mhojiwaji wa kustahili	资格面试官	
Office and administrative support occupations	Expediting clerk	mempercepat kerani	kiirestav sekretär	nopeuttamaan virkailijaa	gyorsító	արագացուցչուհի	?	?	?	사무원 급송	hızlandırıcı katip	igbasilẹ alakoso	?	kusafirisha karani	加快店员	
Office and administrative support occupations	File clerk	kerani fail	?	?	irattáros	?	ফাইল করণিক	फाइल क्लर्क	?	파일 점원	dosya memuru	akọwe faili	fitxategi idazkaria	karani wa faili	?	
Office and administrative support occupations	Financial clerk	kerani kewangan	finantskonsultant	taloudellinen toimihenkilö	pénzügyi tisztviselő	ֆինանսական քարտուղար	আর্থিক ক্লার্ক	वित्तीय क्लर्क	財務係	금융 사무원	?	akọwe owo	finantza-idazkaria	karani wa fedha	财务员	
Office and administrative support occupations	First-line supervisor of administrative support workers	?	?	hallinnollisten tukihenkilöiden ensimmäisen linjan ohjaaja	?	?	?	प्रशासनिक समर्थन कर्मचारीहरूको पहिलो-लाइन पर्यवेक्षक	?	?	?	olutọju alakoso akọkọ ti awọn oluranlọwọ atilẹyin ile-iṣẹ	lehen mailako arduradun administratiboen laguntza-langileak	?	?	
Office and administrative support occupations	First-line supervisor of office support workers	penyelia pertama pekerja pekerja pejabat	bürootöötajate esimese järgu juhendaja	toimistotyöntekijöiden ensimmäisen linjan ohjaaja	az irodai támogatók első szintű felügyelője	գրասենյակի աջակցության աշխատակիցների առաջին կարգի ղեկավարը	অফিস সমর্থন কর্মীদের প্রথম লাইন সুপারভাইজার	कार्यालय सहायक कर्मचारीहरूको पहिलो-लाइन पर्यवेक्षक	オフィスサポート労働者の第一次監督者	?	?	alakoso akọkọ ti ọfiisi ṣe atilẹyin awọn alagbaṣe	lehen mailako arduradunek bulegoetako langileei	msimamizi wa kwanza wa wafanyakazi wa ofisi	?	
Office and administrative support occupations	Freight agent	ejen fret	kaubaveoagent	rahdinkuljettaja	árufuvarozó	բեռնափոխադրող գործակալ	মালবাহী এজেন্ট	भाडा एजेन्सी	貨物代理店	화물 요원	?	oluṣowo ọkọ ayọkẹlẹ	merkantzien agente	?	货运代理	
Office and administrative support occupations	Gaming cage worker	?	mänguautomaadiga puuritöötaja	pelaajan häkki-työntekijä	játék ketrec dolgozó	խաղային վանդակի աշխատող	গেমিং খাঁচা কর্মী	जुवा खेल्ने कामदार	賭博檻の労働者	게임 케이지 작업자	oyun kafes işçisi	oniṣẹ iṣẹ ẹlẹsin	jolas kaiola langilea	?	游戏笼工	
Office and administrative support occupations	Hotel desk clerk	?	hotelli piletikassa	hotellin kirjoituspöytäkirja	szálloda íróasztal író	հյուրանոցի գրասեղանի աշխատակից	?	होटल डेस्क क्लर्क	ホテルのデスクの係員	?	otel resepsiyon memuru	iwe akosile ile-iwe ayelujara	hoteleko mahaiko idazkaria	karani dawati wa dawati	酒店前台服务员	
Office and administrative support occupations	Human resources assistant	pembantu sumber manusia	inimressursside assistent	henkilöstöasiantuntija	humánerőforrás asszisztens	մարդկային ռեսուրսների օգնական	মানব সম্পদ সহকারী	मानव संसाधन सहायक	?	인적 자원 보조원	i̇nsan kaynakları asistanı	oluranlọwọ iranlowo eniyan	giza baliabideen laguntzailea	msaidizi wa rasilimali za binadamu	人力资源助理	
Office and administrative support occupations	Information clerk	kerani maklumat	teabe sekretär	tietotekniikka	információs ügyintéző	տեղեկատվական պաշտոնյան	তথ্য ক্লার্ক	?	情報員	정보원	bilgi memuru	akọwe alaye	informazioko idazkaria	karani wa habari	信息员	
Office and administrative support occupations	Information clerk	kerani maklumat	teabe sekretär	tietotekniikka	információs ügyintéző	?	তথ্য ক্লার্ক	सूचना क्लर्क	情報員	정보원	bilgi memuru	akọwe alaye	informazioko idazkaria	karani wa habari	信息员	
Office and administrative support occupations	Insurance claims clerk	kerani tuntutan insurans	kindlustusnõuete osakond	vakuutusasiamiehelle	biztosítási követelések jegyzője	ապահովագրության պահանջները	বীমা দাবি ক্লার্ক	बीमा क्लर्कको दावी छ	保険金請求係	보험 청구 서기	sigorta tazminatı	akọwe atako iṣeduro	aseguruen aldarrikapena	bima madai karani	保险索赔文员	
Office and administrative support occupations	Interviewer	pensyarah	?	haastattelija	riporter	հարցազրույցի մասնակից	সাক্ষাত্কার	?	インタビュアー	면접관	görüşmeci	onibeere	elkarrizketa	mhojiwaji	面试官	
Office and administrative support occupations	License clerk	kerani lesen	litsentsiametnik	lisenssinhaltija	licenszügynök	արտոնագրային պատասխանատու	লাইসেন্স ক্লার্ক	?	ライセンス担当者	라이센스 사무원	ruhsat memuru	iwe-aṣẹ iwe-aṣẹ	lizentziaduna	karani wa leseni	执照职员	
Office and administrative support occupations	Loan clerk	kerani pinjaman	laenupidaja	luotonantaja	hitelügyintéző	վարկային գործակալություն	ঋণ ক্লার্ক	ऋण क्लर्क	ローン担当者	대출 사무원	kredi memuru	?	mailegu-idazkaria	karani wa mkopo	贷款员	
Office and administrative support occupations	Loan interviewer	pensyarah pinjaman	laenu intervjueerija	lainahaastattelija	kölcsönkérő	վարկային հարցազրույցի մասնակից	ঋণ সাক্ষাতকার	ऋण साक्षात्कारकर्ता	ローンインタビュアー	대출 면접관	kredi görüşmecisi	?	mailegu elkarrizketatzailea	mhojiwaji wa mkopo	贷款面试官	
Office and administrative support occupations	Mail clerk	kerani mel	posti sekretär	sähköpostikirjailija	mail író	փոստ քարտուղար	মেইল ক্লার্ক	मेल क्लर्क	メール係	우편 사무원	posta memuru	?	posta idazkaria	barua ya karani	邮件员	
Office and administrative support occupations	Mail machine operator	pengendali mesin mel	posti masina operaator	postioperaattori	mail gép üzemeltetője	փոստ մեքենայի օպերատոր	মেইল মেশিন অপারেটর	मेल मिसिन परिचालक	メールマシンオペレータ	메일 기계 운영자	posta makinesi operatörü	oluta ẹrọ meli	posta elektronikoko operadorea	operator mashine ya barua pepe	邮件机操作员	
Office and administrative support occupations	Messenger	utusan	messenger	sanansaattaja	hírnök	սուրհանդակ	বার্তাবহ	दूत	メッセンジャー	전령	haberci	ojiṣẹ	mezulari	mjumbe	信使	
Office and administrative support occupations	Meter reader	pembaca meter	meeterilugeja	mittarilukija	méteres olvasó	?	মিটার রিডার	मीटर पाठक	メートルリーダー	미터 판독기	sayaç okuyucu	mita kika	metro irakurgailua	msomaji wa mita	读表器	
Office and administrative support occupations	Motel desk clerk	kerani meja motel	motell lauajatöötaja	motellin kirjoituspöytäkirja	?	մոթել հյուրանոցի աշխատակից	মোটা ডেস্ক ক্লার্ক	मोटल डेस्क क्लर्क	モーテルデスクの係員	모텔 데스크 직원	motel resepsiyon memuru	iwe akọwe ọkọ motel	motel mahaiko idazkaria	karani wa dawati ya motel	汽车旅馆的前台服务员	
Office and administrative support occupations	Municipal clerk	kerani perbandaran	kohaliku sekretär	kunnallinen virkailija	önkormányzati tisztviselő	քաղաքապետարանի աշխատակից	পৌরসভা ক্লার্ক	नगरपालिका क्लर्क	市町村の書記	시립 서기	belediye memuru	akọwe ilu	udal idazkaria	karani ya manispaa	?	
Office and administrative support occupations	New accounts clerk	kerani akaun baru	uus kontohaldur	uudet tilit kirjailija	új fiókok ügyintézője	նոր հաշիվներ	নতুন অ্যাকাউন্ট ক্লার্ক	नयाँ खाता क्लर्क	新しいアカウントの係員	새 계좌 직원	yeni hesap memuru	akọwe iroyin tuntun	?	mwandishi mpya wa akaunti	?	
